title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
会说话的智能巴比洋娃娃套装仿真女孩公主婴儿童玩具衣服单个布,//detail.tmall.com/item.htm?id=569463372559,升17名,1,"50,037",+965.35%,"1,274"
依甜芭比换装洋娃娃套装大礼盒女孩公主儿童玩具惊喜梦想豪宅单个,//item.taobao.com/item.htm?id=559815040941,降1名,2,"30,269",+11.53%,925
会说话的仿真洋娃娃套装大礼盒女孩公主儿童玩具长尾巴比翼鸟衣服,//detail.tmall.com/item.htm?id=581232876698,降1名,3,"23,206",+17.86%,753
会说话走路的智能对话芭比洋娃娃套装儿童女孩玩具公主仿真单个布,//detail.tmall.com/item.htm?id=580273132206,降1名,4,"20,571",-4.13%,683
依甜芭比娃娃套装女孩公主大礼盒洋娃娃婚纱衣服别墅城堡儿童玩具,//item.taobao.com/item.htm?id=583882831801,持平,5,"19,308",-3.64%,831
灵公主叶罗丽娃娃正品罗丽仙子60厘米冰公主精灵梦叶萝莉全套玩具,//detail.tmall.com/item.htm?id=547264983465,降2名,6,"17,790",-17.04%,353
叶罗丽娃娃正品罗丽仙子低价夜萝莉29cm全套装冰公主芭比女孩玩具,//detail.tmall.com/item.htm?id=565823264623,升1名,7,"16,272",+1.96%,267
lol亿奇惊喜猜拆乐洋娃娃拆拆球蛋猜猜乐儿童球女孩公主盲盒玩具,//detail.tmall.com/item.htm?id=586767515042,升2名,8,"15,350",+1.02%,581
凯蒂娃娃芭比洋娃娃sd关节换装套装玩具公主仿真超大号60厘米女孩,//item.taobao.com/item.htm?id=585354794170,升3名,9,"15,288",+11.19%,480
叶罗丽娃娃正品罗丽仙子29cm冰公主全套夜萝莉精灵梦芭比套装玩具,//detail.tmall.com/item.htm?id=567400342161,降1名,10,"14,513",-15.27%,312
60厘米会说话克时帝芭比娃娃套装智能女孩公主玩具单个洋娃娃超大,//item.taobao.com/item.htm?id=575607818724,升2名,11,"14,184",+0.78%,442
芭比娃娃梦幻衣橱手提礼包芭比娃娃套装大礼盒女孩公主儿童玩具,//detail.tmall.com/item.htm?id=17294263410,降5名,12,"13,964",-23.33%,261
芭比娃娃套装女孩公主大礼盒别墅城堡换装婚纱超大洋娃娃儿童玩具,//detail.tmall.com/item.htm?id=547099748962,升9名,13,"13,556",+31.31%,637
芭比娃娃闪亮度假屋豪华女孩玩具,//item.taobao.com/item.htm?id=589610524304,-,14,"13,556",0.00%,"1,898"
灵公主叶罗丽娃娃正品罗丽仙子全套精灵梦夜萝莉60厘米冰公主玩具,//detail.tmall.com/item.htm?id=535372929011,降9名,15,"13,404",-31.06%,296
换装巴比洋娃娃套装大礼盒女孩公主儿童玩具别墅城堡婚纱梦想豪宅,//detail.tmall.com/item.htm?id=574737183502,持平,16,"12,850",-5.78%,964
会说话的芭比娃娃套装女孩公主大礼盒别墅城堡婚纱洋娃娃儿童玩具,//item.taobao.com/item.htm?id=556454452631,升2名,17,"12,427",+0.88%,769
?芭比娃娃套装女孩公主大礼盒别墅城堡梦想豪宅小学生过家家玩具?,//item.taobao.com/item.htm?id=577386627714,升6名,18,"12,322",+14.19%,541
音乐眨眼换装芭比洋娃娃套装大礼盒别墅城堡儿童女孩公主玩具婚纱,//item.taobao.com/item.htm?id=569387793382,升6名,19,"12,141",+13.16%,669
芭比娃娃套装大礼盒女孩公主婚纱儿童玩具换装洋娃娃衣服别墅城堡,//item.taobao.com/item.htm?id=573780844640,升21名,20,"12,064",+68.22%,541
