title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
澳乐宝宝布书早教书6-12月益智婴儿玩具0-1岁安全可咬立体撕不烂,//detail.tmall.com/item.htm?id=560968346143,持平,1,"21,570",-49.02%,870
0-3岁宝宝婴儿布书立体撕不烂益智玩具早教可咬书籍6-12个月,//detail.tmall.com/item.htm?id=574171675334,升1名,2,"20,814",+7.07%,725
jollybaby立体尾巴布书早教婴儿撕不烂6-12个月宝宝益智玩具0-1岁,//detail.tmall.com/item.htm?id=536242838087,升1名,3,"13,051",+3.70%,786
my first book蒙特梭利儿童抖音立体土豪书elf撕不烂婴儿早教布书,//item.taobao.com/item.htm?id=578545178352,升2名,4,"12,125",+23.61%,622
my first book蒙特梭利儿童抖音立体土豪书elf撕不烂婴儿早教布书,//item.taobao.com/item.htm?id=553972956962,升6名,5,"12,093",+73.04%,710
my first book蒙特梭利儿童土豪书撕不烂婴儿早教布书myfirstbook,//detail.tmall.com/item.htm?id=572991890184,升2名,6,"11,465",+26.50%,358
贝恩施婴儿布书早教撕不烂3-12个月儿童抖音3D立体宝宝启蒙玩具书,//item.taobao.com/item.htm?id=577140415231,升3名,7,"11,226",+51.31%,366
拉拉布书立体布书早教6-9个月婴儿0-1-3岁宝宝益智玩具撕不烂可咬,//detail.tmall.com/item.htm?id=20248681791,降1名,8,"10,552",+4.01%,668
0-1-3岁婴儿玩具早教宝宝小布书6-12个月儿童益智立体可咬撕不烂,//detail.tmall.com/item.htm?id=533069192260,升3名,9,"8,554",-0.92%,761
费雪撕不烂立体可咬尾巴布书0-3岁儿童宝宝婴儿早教益智玩具6个月,//detail.tmall.com/item.htm?id=583031390322,降1名,10,"7,902",-26.75%,516
婴儿撕不烂立体尾巴布书早教0-6-12个月可咬宝宝1益智启蒙玩具3岁,//detail.tmall.com/item.htm?id=567713628510,升4名,11,"7,817",+9.96%,639
LALABABY 婴儿早教布书6个月宝宝书幼儿可咬 撕不烂儿童立体布书,//detail.tmall.com/item.htm?id=19414802698,升4名,12,"7,592",+10.60%,964
贝恩施宝宝3D立体布书 婴儿早教益智撕不烂布书0-3岁6-12个月玩具,//detail.tmall.com/item.htm?id=569270333333,升1名,13,"7,591",-14.58%,487
蒙特梭利儿童早教布书my diy布艺宝宝土豪书first book婴儿立体书,//detail.tmall.com/item.htm?id=584432802969,升14名,14,"7,058",+93.44%,317
jollybaby宝宝立体布书早教6-12个月可咬婴儿书0-3岁撕不烂响纸,//detail.tmall.com/item.htm?id=536327985546,升6名,15,"6,831",+14.90%,874
0-1-3岁小布书早教婴儿6-12个月可咬立体益智玩具宝宝撕不烂书籍,//detail.tmall.com/item.htm?id=556019729312,升2名,16,"6,799",-7.35%,812
米宝兔宝宝布书撕不烂婴儿玩具儿童6-12个月益智可咬立体早教布书,//detail.tmall.com/item.htm?id=564280506207,升3名,17,"6,216",-5.70%,758
0-3岁宝宝婴儿幼小布书立体撕不烂益智玩具早教可咬书籍6-12个月,//detail.tmall.com/item.htm?id=557339431724,降1名,18,"6,152",-22.03%,"1,010"
my first book蒙特梭利儿童抖音立体土豪书elf撕不烂婴儿早教布书,//detail.tmall.com/item.htm?id=588621687699,降6名,19,"5,954",-43.79%,392
babycare婴儿早教布书 0-3岁立体可咬撕不烂6-12个月宝宝益智玩具,//detail.tmall.com/item.htm?id=579725786444,降18名,20,"5,742",-90.63%,148
