title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
新生婴儿床铃0-1岁3-6个月12男女宝宝玩具音乐旋转益智摇铃床头铃,//detail.tmall.com/item.htm?id=573501625216,持平,1,"32,340",-6.71%,919
婴儿玩具音乐0-3-6-12个月旋转宝宝玩具新生儿床铃摇铃0-1岁益智,//detail.tmall.com/item.htm?id=563745794980,-,2,"25,050",+8.74%,858
新生婴儿床铃0-1岁3-6个月12男女宝宝玩具音乐旋转益智摇铃床头铃,//detail.tmall.com/item.htm?id=582529033938,降1名,3,"19,441",+3.13%,906
新生婴儿床铃安抚玩具毛绒布艺音乐旋转摇铃0-3-6-12个月宝宝车挂,//detail.tmall.com/item.htm?id=43548906543,降1名,4,"16,790",+1.07%,484
新生婴儿床铃0-1岁玩具3-6个月12男宝宝女音乐旋转益智摇铃床头铃,//detail.tmall.com/item.htm?id=559806437234,降1名,5,"11,614",+6.16%,709
mua手工床铃diy婴儿床挂猪宝宝布艺音乐旋转床头吊摇铃新生儿玩具,//item.taobao.com/item.htm?id=577000883408,升3名,6,"11,517",+28.26%,447
婴儿玩具音乐旋转床铃宝宝玩具0-1岁床头挂摇铃新生儿3-6-12个月,//detail.tmall.com/item.htm?id=564700405745,升1名,7,"11,403",+19.45%,824
婴儿玩具0-3-6-12个月音乐旋转床铃摇铃益智男女宝宝新生儿0-1岁5,//detail.tmall.com/item.htm?id=564733433364,降3名,8,"11,342",+5.34%,715
新生婴儿玩具3-6-12个月音乐床铃旋转宝宝益智床头摇铃挂件0-1岁4,//detail.tmall.com/item.htm?id=575596442236,降3名,9,"10,293",-7.42%,804
新生婴儿床铃0-1岁3-6个月男女宝宝床玩具床挂音乐旋转摇铃床头铃,//detail.tmall.com/item.htm?id=581509844401,降3名,10,"10,259",-7.42%,539
宝宝床挂婴儿玩具新生儿安抚床绕毛绒男女孩床铃动物床挂车挂摇铃,//detail.tmall.com/item.htm?id=559445999889,升62名,11,"10,227",+981.34%,425
葵普家婴儿床铃音乐旋转婴儿0-6个月宝宝摇铃婴儿床铃挂铃包邮,//item.taobao.com/item.htm?id=569761267020,升6名,12,"8,349",+69.04%,614
新生婴儿床铃3益智男宝宝玩具0-1岁音乐旋转床头摇铃摇铃推车挂件,//detail.tmall.com/item.htm?id=576949219165,升2名,13,"7,419",+23.86%,796
新生婴儿宝宝床铃0-1岁 毛绒益智床绕推车挂件3-6-12个月安抚玩具,//item.taobao.com/item.htm?id=529605500027,降3名,14,"6,998",-1.30%,806
艾乐祺手工纯棉新生婴儿床铃音乐旋转床头铃布艺 宝宝玩偶玩具diy,//item.taobao.com/item.htm?id=574349928680,降3名,15,"6,979",-0.34%,399
婴儿推车挂件宝宝0-3-6个月床铃摇铃毛绒小男女孩安抚益智1岁玩具,//item.taobao.com/item.htm?id=529055820752,降6名,16,"6,838",-14.19%,829
艾乐祺孕期手工猪宝宝床铃挂diy新生婴儿布艺床头铃音乐旋转玩具,//item.taobao.com/item.htm?id=579075971192,升3名,17,"6,662",+36.36%,392
婴幼儿玩具床铃0-1岁3-6-12个月音乐旋转玩具益智早教摇铃床头铃,//item.taobao.com/item.htm?id=585383157336,降1名,18,"6,529",+9.28%,928
婴儿摇铃3-6-12个月新生幼儿早教床头铃宝宝0-1岁益智玩具男女孩,//detail.tmall.com/item.htm?id=569993781512,降6名,19,"6,416",-13.15%,892
新生婴儿床上玩具床铃脚蹬宝宝0-1岁2摇铃音乐旋转床头铃吊挂件男,//detail.tmall.com/item.htm?id=587934118884,升3名,20,"6,408",+38.92%,580
