title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
费雪声光安抚小海马新生儿胎教亲子婴儿音乐毛绒哄睡音乐益智玩具,//detail.tmall.com/item.htm?id=17347946555,持平,1,"23,988",-15.39%,597
费雪声光安抚小海马新生婴幼儿胎教亲子音乐哄睡毛绒手偶益智玩具,//detail.tmall.com/item.htm?id=552383743090,升8名,2,"23,346",+843.66%,984
美国kissbaby婴儿安抚巾可入口宝宝安抚玩偶0-1岁睡眠手偶玩具,//detail.tmall.com/item.htm?id=577194543913,降1名,3,"22,091",-6.71%,674
可优比婴儿安抚巾毛绒玩具玩偶可入口咬安抚宝宝口水巾0-1岁睡眠,//detail.tmall.com/item.htm?id=547631218648,降1名,4,"13,390",-13.16%,656
正品费雪海马 安抚小海马新生婴儿睡眠声光音乐胎教手偶玩具0-1岁,//detail.tmall.com/item.htm?id=540689419244,持平,5,"9,732",+8.94%,709
正品费雪安抚小海马 新生婴儿声光音乐胎教玩具哄睡手偶宝宝0-1岁,//detail.tmall.com/item.htm?id=522780432677,降2名,6,"9,559",-4.15%,657
费雪声光安抚小海马新生婴儿毛绒睡眠音乐胎教手偶宝宝玩具0-1岁,//detail.tmall.com/item.htm?id=556010990177,升2名,7,"8,272",+34.86%,778
kaloo安抚巾初生安抚毛巾玩偶新生儿玩具宝宝安抚娃娃婴儿可入口,//detail.tmall.com/item.htm?id=551508539584,降2名,8,"7,093",-11.85%,542
费雪新款 智能安抚海马费雪婴幼儿音乐安抚哄睡婴儿毛绒玩具FHC95,//detail.tmall.com/item.htm?id=549047806814,升2名,9,"6,881",+19.03%,438
外贸惊喜毛绒娃娃洗澡猫狗玩具神奇宠物公仔男女宝宝礼物养成,//item.taobao.com/item.htm?id=585517178626,升19名,10,"6,523",+106.61%,151
贝易安抚巾毛绒布娃娃玩偶婴儿玩具可入口咬宝宝哄睡眠新生0-1岁,//detail.tmall.com/item.htm?id=582718922253,升1名,11,"6,503",+27.30%,541
费雪0-1岁尊享大礼盒安抚哄睡玩乐学爬学步一套男宝女宝版,//detail.tmall.com/item.htm?id=580305621694,降4名,12,"6,076",-30.91%,178
费雪海马宝宝安抚玩偶可啃咬婴儿玩具娃娃睡眠音乐布偶安抚小海马,//detail.tmall.com/item.htm?id=554245730548,升9名,13,"5,876",+44.66%,600
VTech伟易达小河马睡眠仪宝宝安抚玩偶安睡投影婴幼儿哄睡玩具,//detail.tmall.com/item.htm?id=522628987892,持平,14,"5,437",-1.75%,413
费雪声光安抚海马新生儿亲子婴幼儿音乐早教毛绒益智玩具0-6个月,//detail.tmall.com/item.htm?id=521358475378,降8名,15,"5,402",-43.71%,457
正品费雪婴儿安抚声光小海马安抚手偶玩具新生婴儿玩具0-3-12个月,//item.taobao.com/item.htm?id=551386327755,升23名,16,"5,091",+105.00%,917
费雪智能安抚仪星空海洋灯起夜喂奶婴儿灯宝宝夜灯带音乐FJT70,//detail.tmall.com/item.htm?id=552354410862,升19名,17,"4,891",+75.48%,376
babysafe婴儿毛绒玩具玩偶布娃娃哄睡0-1岁宝宝睡眠可入口安抚巾,//detail.tmall.com/item.htm?id=584406781301,升12名,18,"4,852",+29.87%,624
官方正品La Millou拉米洛豆豆标签安抚巾新生婴儿玩具0-1岁可入口,//item.taobao.com/item.htm?id=529713050221,升9名,19,"4,814",+17.62%,331
费雪海马新生儿礼盒（海马+床铃)亲子音乐毛绒玩具礼物哄睡组合,//detail.tmall.com/item.htm?id=559113999571,升3名,20,"4,570",-4.02%,309
