title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
婴儿手摇铃玩具牙胶益智0-3-6-12个月宝宝1岁幼儿新生5男女孩8,//detail.tmall.com/item.htm?id=566153652847,持平,1,"32,322",+4.26%,932
贝恩施婴儿手摇铃0-1岁 新生儿宝宝早教益智牙胶玩具0-3-6-12个月,//detail.tmall.com/item.htm?id=572824711576,升1名,2,"22,803",+4.28%,732
手摇铃3婴儿玩具12个月8益智6牙胶男女孩5早教新生幼儿宝宝0-1岁,//detail.tmall.com/item.htm?id=576652472952,升2名,3,"18,360",+14.13%,748
婴儿玩具新生手摇铃早教0-1岁宝宝儿童益智幼儿男孩3女孩12个月6,//detail.tmall.com/item.htm?id=584280260534,升5名,4,"17,237",+63.91%,751
婴儿玩具高温水煮牙胶摇铃新生儿0-3-6-12个月宝宝玩具0-1岁益智,//detail.tmall.com/item.htm?id=564309717577,-,5,"14,872",-8.21%,798
婴儿玩具3-6-12个月新生儿摇铃 0-1岁宝宝益智早教幼儿手摇铃牙胶,//item.taobao.com/item.htm?id=533216848845,升1名,6,"13,383",-16.58%,"1,434"
贝易婴儿玩具0-1岁新生儿宝宝益智牙胶幼儿手摇铃抓握0-3-6个月12,//detail.tmall.com/item.htm?id=567738064768,降1名,7,"12,276",-30.84%,388
婴儿手摇铃玩具0-1岁新生幼儿宝宝益智牙胶3-6-9-12个月男5女可咬,//detail.tmall.com/item.htm?id=585350424050,升4名,8,"11,646",+2.19%,928
婴儿玩具0-3-6-12个月益智摇铃男宝宝玩具0-1岁新生婴幼儿小女孩4,//detail.tmall.com/item.htm?id=584966070055,升2名,9,"11,308",-11.43%,886
火火兔R1手摇铃0-1岁 新生婴幼儿宝宝益智早教玩具0-3-6-12个月,//detail.tmall.com/item.htm?id=45596954733,升4名,10,"10,963",-0.08%,493
婴儿玩具0-1岁一宝宝6-12个月六新生7早教8益智十小男孩女孩七八,//item.taobao.com/item.htm?id=565480083033,升6名,11,"10,937",+19.10%,513
KUB可优比婴儿手摇铃新生牙胶3-6-12个月婴幼儿0-1岁宝宝益智玩具,//detail.tmall.com/item.htm?id=562443936638,降4名,12,"10,772",-37.26%,471
婴儿玩具0-1岁幼儿牙胶摇铃 3-6-12个月新生儿宝宝手摇铃牙胶玩具,//detail.tmall.com/item.htm?id=526091193389,升3名,13,"10,215",+5.51%,"1,002"
新生儿咬牙胶手摇铃男女宝宝益智婴儿玩具0-1岁初生12幼儿3-6个月,//detail.tmall.com/item.htm?id=576813057821,升7名,14,"9,901",+17.20%,724
婴儿玩具0-3-6-12个月益智新生儿手摇铃幼儿男女孩宝宝玩具 0-1岁,//item.taobao.com/item.htm?id=569209964710,升3名,15,"9,767",-1.33%,424
新生婴儿玩具咬牙胶手摇铃男孩女宝宝6个月3幼12儿初生0-1岁益智8,//detail.tmall.com/item.htm?id=563348409381,降3名,16,"9,639",-21.30%,695
手摇铃婴儿玩具3-6-12个月8益智小男女孩5早教新生幼儿宝宝0-1岁2,//detail.tmall.com/item.htm?id=576110864711,升2名,17,"9,627",-0.66%,625
婴儿玩具新生男宝宝0-1岁儿童益智早教幼儿男孩3女孩12个月6启蒙,//detail.tmall.com/item.htm?id=580239527860,升4名,18,"9,051",+0.73%,592
好孩子婴儿玩具新生儿牙胶益智宝宝手摇铃3-6-12个月0-1岁手抓球,//detail.tmall.com/item.htm?id=555181441195,升4名,19,"8,908",-0.65%,406
婴儿新生玩具3-6-12三个月7手摇铃幼儿益智4两女孩宝宝5四0-1半岁,//detail.tmall.com/item.htm?id=557568571887,升6名,20,"8,464",+2.76%,560
