title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
2018新款 LOSI 5IVE—T 2.0 1/5油动模型  短卡 越野,//item.taobao.com/item.htm?id=582257084982,-,1,"14,772",0.00%,"3,693"
新Traction Hobby Founder II门桥版KM4 1:8遥控牧马人攀爬车模型,//item.taobao.com/item.htm?id=587165929256,-,2,"11,935",0.00%,189
KM4 TH4 1/8 遥控模型牧马人仿真攀爬车越野 门桥版Founder 包邮,//item.taobao.com/item.htm?id=587634317857,-,3,"11,705",0.00%,275
灿烁1/16全金属豹2A6遥控主战坦克模型玩具德国履带式攀爬越野车,//item.taobao.com/item.htm?id=586815643646,-,4,"11,484",0.00%,313
新品Traxxas 遥控电动越野车攀爬车 TRX-4 路虎卫士 82056-4 包邮,//item.taobao.com/item.htm?id=549475062007,-,5,"11,004",0.00%,130
Traxxas 大X-Maxx 1/5 成人专业遥控越野高速暴力无刷大脚模型车,//item.taobao.com/item.htm?id=546269539075,-,6,"10,877",0.00%,150
Boomracing BRX01 LC70 全金属仿真攀爬车架 遥控模型车 皮卡车,//item.taobao.com/item.htm?id=584769379000,-,7,"10,572",0.00%,156
Losi Super Baja Rey 1/6 4WD电动四驱沙漠卡车 RTR版 #LOS05013,//item.taobao.com/item.htm?id=563996596983,-,8,"8,794",0.00%,214
HSP94188甲醇汽油越野车 加油四驱大脚车 成人烧油油动燃油遥控车,//item.taobao.com/item.htm?id=39049312108,降2名,9,"8,607",-3.13%,205
包顺丰蓝牙版TRAXXAS SUMMIT 暴力攀爬大脚 #56076-4 配锂电特价,//item.taobao.com/item.htm?id=16954348342,-,10,"8,286",0.00%,"3,693"
Traxxas Unlimited Desert Racer UDR1:7后直桥短卡沙漠卡85076-4,//item.taobao.com/item.htm?id=564676320064,降5名,11,"8,160",-13.21%,231
Kyosho京商MP10竞赛级1/8油动越野车InfernoMP9升级 2019现货秒发,//item.taobao.com/item.htm?id=584865173318,-,12,"7,755",0.00%,"1,898"
DHK8384专业RC遥控车非燃油1/8电动遥控越野车成人四驱高速大脚车,//item.taobao.com/item.htm?id=43695201829,-,13,"7,622",0.00%,230
仿真攀爬车四门/五门牧马人1:10到手玩 全金属车架 将军府改装车,//item.taobao.com/item.htm?id=44183466716,-,14,"7,400",0.00%,118
日本京商Kyosho Inferno MP9 TKI4 Kit 1/8油动越野竞速车 33001,//item.taobao.com/item.htm?id=42227673462,-,15,"7,215",0.00%,"1,288"
田宫Tamiya 1/14 Volvo FH16 Globetrotter 750 6X4 货柜车 56360,//item.taobao.com/item.htm?id=588860040336,-,16,"7,122",0.00%,621
Traction Hobby KM2 TH2 1/8仿真牧马人 二代攀爬越野遥控模型车,//item.taobao.com/item.htm?id=556433723569,-,17,"6,984",0.00%,223
Kyosho（京商）1/8 GT2 油动平跑 双速燃油遥控车 新款道奇奥迪R8,//item.taobao.com/item.htm?id=550992269229,-,18,"6,713",0.00%,181
Traxxas 82096-4 TRX-4 T4大G 奔驰G500 4X4遥控电攀爬车越野包邮,//item.taobao.com/item.htm?id=587853292860,-,19,"6,691",0.00%,327
大男孩成人1:5燃油遥控烧汽油车 四驱遥控燃油赛车高速模型越野车,//item.taobao.com/item.htm?id=576039058858,-,20,"6,604",0.00%,574
