title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
守一育心经典全家读经 超级豪华1+2套装（含两套口袋书） 8477元,//item.taobao.com/item.htm?id=546698140574,-,1,"16,586",0.00%,"2,408"
育心经典 迷你、易经1+1经济小套装（含口袋书） 2333元,//item.taobao.com/item.htm?id=546394469092,-,2,"5,195",0.00%,"1,898"
"放下孩子:犹太人的家教制胜之道 莫格尔 ,蒋旭峰,叶楠,刘佳  广西",//item.taobao.com/item.htm?id=565250744938,升4名,3,"2,560",+44.05%,914
《正面管教家长讲师指南》（大蓝本）,//item.taobao.com/item.htm?id=583184578806,降3名,4,"2,540",-80.25%,"1,141"
嘱托耶稣的叮咛青少年儿童故事书绘本版莎拉杨著正版,//item.taobao.com/item.htm?id=567159085234,-,5,"2,421",0.00%,"2,408"
正版 善解童贞全套5册0-18岁儿童教育早教家庭教育家教书籍胡萍著,//item.taobao.com/item.htm?id=574562033378,升9名,6,"1,916",+102.28%,"1,385"
包邮 奇异的仿生学_戴君惕编著,//item.taobao.com/item.htm?id=580171493037,降1名,7,"1,796",-41.89%,"1,674"
正版图书；安全边际塞思卡拉曼著中文版,//item.taobao.com/item.htm?id=576679644276,-,8,"1,569",0.00%,889
正面管教家长课程教材正版简·尼尔森慧育家,//item.taobao.com/item.htm?id=583016286903,升20名,9,"1,477",+110.30%,"1,464"
《安全边际》塞思·卡拉曼 著 张志雄 中文版 全国现货包邮,//item.taobao.com/item.htm?id=574398378416,升2名,10,"1,423",-4.21%,"1,238"
慧育家正面管教 学校讲师指南-项目负责人资讯和互动活动,//item.taobao.com/item.htm?id=583330083718,-,11,"1,374",0.00%,"1,035"
套装三本 萧碧燕教你靠基金 买基金坐拥双薪 买基金为自己加薪,//item.taobao.com/item.htm?id=565284126816,升9名,12,"1,315",+32.41%,"1,423"
【绝版售价高】正版放下孩子：犹太人的家教制胜之道,//item.taobao.com/item.htm?id=567593317355,升60名,13,"1,312",+208.75%,577
华德福 故事知道怎么办1-3册 如何让孩子有令人惊喜的改变 正版,//item.taobao.com/item.htm?id=571176421975,升36名,14,"1,145",+100.00%,909
高清版现货 小牧者1-6册  基督生平 促销价 学生本,//item.taobao.com/item.htm?id=563963535686,-,16,"1,137",0.00%,"1,288"
现货我在美国做妈妈：耶鲁法学院教授的育儿经虎妈战歌中文版,//item.taobao.com/item.htm?id=567882377627,升30名,15,"1,137",+91.92%,"2,017"
正版包邮 奇异的仿生学_戴君惕编著,//item.taobao.com/item.htm?id=567631386206,降9名,17,"1,114",-56.68%,"1,238"
包邮《学琴之路 小提琴综合教程 1 2 3 4 5 6 7》全7大本 赵薇,//item.taobao.com/item.htm?id=563817713797,-,18,"1,096",0.00%,"1,423"
中华文化的智慧家道与孝道天经地义家风之孝道孙一乃正版畅销,//item.taobao.com/item.htm?id=565589711545,-,19,"1,049",0.00%,"3,693"
新品华德福驿站《五把黄金钥匙》关爱儿童睡眠运动饮食节奏,//item.taobao.com/item.htm?id=584592504672,-,20,"1,042",0.00%,"1,898"
