title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
AKAMODEL专拍,//item.taobao.com/item.htm?id=35518981107,-,1,"12,242",0.00%,"3,693"
1:500辽宁号航母模型成品航空母舰合金仿真军事战舰摆件,//item.taobao.com/item.htm?id=39318406245,-,2,"3,943",0.00%,889
小号手拼装军舰船模1/350二战密苏里号战列舰 俾斯麦战舰模型舰船,//detail.tmall.com/item.htm?id=18989029270,降2名,3,"3,276",-54.64%,293
052D导弹驱逐舰模型成品052C型合金军舰052B型战舰海口号昆明号,//item.taobao.com/item.htm?id=42169558016,升9名,4,"2,735",+107.62%,602
小号手拼装军舰航母仿真1/350辽宁号航空母舰成人DIY手工拼装模型,//item.taobao.com/item.htm?id=567669488466,-,5,"2,540",0.00%,682
1:700/1000辽宁号航母模型16号辽宁舰航空母舰军事舰船模型摆件,//item.taobao.com/item.htm?id=530686496051,升9名,6,"2,041",+56.60%,271
1:400特尔博055导弹驱逐舰模型军舰模型成品合金军事战舰仿真摆件,//item.taobao.com/item.htm?id=578893128811,-,7,"1,980",0.00%,545
小号手拼装航母模型1/500尼米兹航空母舰军舰成人手工船模DIY玩具,//detail.tmall.com/item.htm?id=20961283920,升47名,8,"1,970",+326.04%,367
小号手拼装军舰模型船1/350俄罗斯光荣级莫斯科号导弹巡洋舰04518,//detail.tmall.com/item.htm?id=572488558006,升29名,9,"1,945",+211.36%,508
"[8.5折,PE满百包邮]1/350日本驱逐舰 秋月1942 套改[BBB35047]",//item.taobao.com/item.htm?id=541801564443,-,11,"1,781",0.00%,"1,898"
1/350日本海军驱逐舰 秋月1942/1944[WAVE BB-101],//item.taobao.com/item.htm?id=546587942708,-,10,"1,781",0.00%,"1,612"
名望模型 船坞 S350003 意大利扎拉巡洋舰  PE号手05347,//item.taobao.com/item.htm?id=578339433233,-,12,"1,766",0.00%,"3,693"
FOV1:700 二战德国海军俾斯麦号战列舰合金军舰仿真摆件军事模型,//item.taobao.com/item.htm?id=554190239232,-,13,"1,757",0.00%,-
小号手拼装模型 1/350密苏里号战列舰BB-63 依阿华级战舰船模舰艇,//detail.tmall.com/item.htm?id=18752185740,降2名,14,"1,739",-4.18%,328
特价现货包邮 FOV 1:700美国海军CVN-65企业号核动力航母合金成品,//item.taobao.com/item.htm?id=36759898096,降12名,15,"1,709",-50.27%,563
超大辽宁号航空母舰船战斗机军舰拼装模型仿真成品儿童男孩子玩具,//item.taobao.com/item.htm?id=563818084914,升52名,16,"1,661",+350.12%,321
【3G模型】小号手舰船模型 05602 美国CV-9埃塞克斯号航空母舰,//item.taobao.com/item.htm?id=529153115013,-,17,"1,593",0.00%,"1,423"
ucc正版散货航母1/2000军舰二战日本航母054A拼装玩具,//item.taobao.com/item.htm?id=558563492614,-,18,"1,527","+1,600.00%",264
名望模型 鹰翔舰船 FH 1117S 英国海军威尔士亲王号战列舰 限量版,//item.taobao.com/item.htm?id=561118039097,-,20,"1,502",0.00%,"2,408"
国产辽宁号航空母舰军事模型成品合金仿真军舰战舰静态摆件礼品,//item.taobao.com/item.htm?id=583122705184,-,19,"1,502",0.00%,348
