title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
名望模型  木帆船套材 全肋骨鲨鱼号模型套件黄杨木雕刻件 现货,//item.taobao.com/item.htm?id=44401183389,-,1,"8,520",0.00%,-
"古典木质精品帆船拼装套材 \""皇家索莱尔\""-\""皇家太阳号\""",//item.taobao.com/item.htm?id=578244789598,-,2,"5,679",0.00%,423
全封闭式加勒比海盗美版黑珍珠号帆船模型套件-魔灵出品,//item.taobao.com/item.htm?id=581897980436,-,3,"5,539",0.00%,275
奋进号帆船模型 库克船长 ENDEAVOUR 91CM 地理大发现 大航海时代,//item.taobao.com/item.htm?id=14764195067,-,4,"4,570",0.00%,931
彩珀大型游轮模型轮船邮轮合金玩具船声光回力远洋客船儿童玩具,//item.taobao.com/item.htm?id=586746069150,-,5,"3,995",0.00%,"1,898"
劳迪奇号Christian Radich76CM北欧挪威远洋手工木质帆船模型成品,//item.taobao.com/item.htm?id=14712767312,-,6,"3,817",0.00%,700
木质帆船模型diy手工制作拼装3d立体拼图组装木制积木轮船模玩具,//item.taobao.com/item.htm?id=563213681905,降6名,7,"3,592",-10.55%,624
仿真基洛级核潜艇模型 军事模型 舰船60厘米 潜艇模型 黑色核潜艇,//item.taobao.com/item.htm?id=17096984935,-,8,"2,702",0.00%,-
ATLAS1:1250泰坦尼克TITANIC法兰西号FRANCE游轮邮轮多款合金轮船,//item.taobao.com/item.htm?id=567921218858,-,9,"2,686",0.00%,427
名望模型 加勒比海盗 黑珍珠号木质帆船模型套件 世铖模型出品,//item.taobao.com/item.htm?id=572411913226,-,10,"2,652",0.00%,"1,035"
1:1000密苏里号大和号俾斯麦威斯康星二战各国战列舰合金成品模型,//item.taobao.com/item.htm?id=582709412504,-,11,"2,540",0.00%,306
抖音网红玩具婴幼儿园童宝宝音乐电动滑动轨道可开炮发射球海盗船,//item.taobao.com/item.htm?id=568018673582,-,12,"2,494",0.00%,"1,898"
仿真570黄山号054A型导弹护卫舰 江凯II级舰艇 军舰模型 军事礼品,//item.taobao.com/item.htm?id=528449751585,-,13,"2,478",0.00%,-
054A护卫舰578扬州号导弹护卫舰 综合补给舰军舰模型扬州舰船模型,//item.taobao.com/item.htm?id=524871572177,-,14,"2,349",0.00%,-
信风模型 古典木质精品帆船拼装套材 1:200胜利号（灯光版） DIY,//detail.tmall.com/item.htm?id=541098692938,-,15,"2,103",0.00%,423
新时现货小号手军舰船模型 1/700 中国航空母舰002型山东号06725,//item.taobao.com/item.htm?id=586127894504,升37名,16,"1,926",+289.15%,469
合金仿真169武汉号导弹驱逐舰 舰艇模型 军事模型礼品 展厅模型,//item.taobao.com/item.htm?id=527041337395,-,17,"1,926",0.00%,-
田宫拼装船舰模型78030 1/350 日本大和号战列舰 2013版,//item.taobao.com/item.htm?id=25404136479,-,18,"1,880",0.00%,791
1:350 154厦门舰118乌鲁木齐舰117西宁舰导弹驱逐舰052D舰船模型,//item.taobao.com/item.htm?id=556002917356,-,19,"1,853",0.00%,"1,288"
052D新型导弹驱逐舰模型1:400昆明号合金军舰模型172导弹驱逐舰,//item.taobao.com/item.htm?id=570625060335,-,20,"1,843",0.00%,931
