title,url,changeNum,rangeNum,tradeIndex,tradeGrowth,payConverIndex
长征2F火箭模型 长征3B 长征5号 火箭模型 2F火箭模型 长征7号,//item.taobao.com/item.htm?id=37771983229,-,1,"11,632",0.00%,166
宝贝补款处 先与店主沟通 直接拍下无效,//item.taobao.com/item.htm?id=41062421891,升32名,2,"10,372",+881.43%,"2,408"
航模拼装橡皮筋动力飞机模型玩具天驰橡筋动力双翼机科普模型包邮,//item.taobao.com/item.htm?id=546088778523,-,3,"6,060",0.00%,"2,867"
歼16飞机模型1:72合金战斗机J16苏30军事模型礼品纪念品摆件,//item.taobao.com/item.htm?id=560952225649,-,4,"5,137",0.00%,"1,035"
John Jenkins Designs JJD 二战美军海盗舰载机 初版 带双螺旋桨,//item.taobao.com/item.htm?id=586149595941,-,5,"4,949",0.00%,"1,898"
John Jenkins Designs 1:30 二战美军野猫舰载机,//item.taobao.com/item.htm?id=586504308962,-,6,"4,881",0.00%,"2,408"
合金飞机模型  A380 B787 B737 A350 B747国航 C919 A330东航20cm,//item.taobao.com/item.htm?id=531119811750,升53名,7,"4,872",+267.08%,540
【带轮子带灯】带灯川航四川航空飞机模型空客A350仿真客机熊猫,//item.taobao.com/item.htm?id=583359939356,-,8,"4,836",0.00%,525
合金小飞机模型玩具仿真金属战斗机直升机客机舰载机声音灯光回力,//detail.tmall.com/item.htm?id=528708187333,降3名,9,"4,625",+27.63%,569
EA100009 1：200 马来西亚航空 Airbus A380 9M-MNA 特价,//item.taobao.com/item.htm?id=588477930392,-,10,"4,151",0.00%,"1,898"
玩具飞机 儿童超大号空中巴士小孩男孩惯性滑行仿真a380客机模型,//item.taobao.com/item.htm?id=556629402303,降1名,11,"4,092",+8.17%,356
【模型代工】长谷川 PT-28 1/48 近代美国 AV-8B 鹞式 舰载战斗机,//item.taobao.com/item.htm?id=590151803307,-,12,"3,995",0.00%,889
四凯航天嫦娥一号探月模型火箭柔性翼滑翔机载重留空赛/长征三号,//item.taobao.com/item.htm?id=576023711353,-,13,"3,983",0.00%,208
静态777-300实心合金客机东方南方国航空仿真飞机模型带轮可转动,//item.taobao.com/item.htm?id=520971529110,升40名,14,"3,875",+139.27%,515
包邮空客a380/787南航波音747原型模型国航飞机模型摆件仿真客机,//item.taobao.com/item.htm?id=16570182891,升1名,15,"3,874",+16.09%,354
大型1:30歼十五飞机合金战斗机J15仿真军事金属模型男人礼物成品,//item.taobao.com/item.htm?id=537933343070,-,16,"3,863",0.00%,"1,898"
特尔博1:100歼20飞机模型隐形战斗机J20合金仿真军事成品摆件阅兵,//detail.tmall.com/item.htm?id=548663453629,升18名,17,"3,857",+83.67%,406
儿童玩具飞机模型仿真战斗机超大号飞机可坐人六一儿童节男孩礼物,//item.taobao.com/item.htm?id=570911573166,降5名,18,"3,734",0.00%,436
46cm客机a380飞机模型拼装发光带轮+专用底座1:160南航汉莎阿联酋,//item.taobao.com/item.htm?id=567082239338,升19名,19,"3,476",+57.22%,211
1:60歼二十飞机模型仿真合金1:48歼20 1:72J20隐行战斗机军事模型,//item.taobao.com/item.htm?id=577280502306,-,20,"3,452",0.00%,720
